Módulo,Categoria,Cenário,Status
"Contratos","Inclusão","CTR-001","COBERTO"
"Contratos","Inclusão","CTR-002","NÃO COBERTO"
"Contratos","Inclusão","CTR-003","COBERTO"
"Contratos","Alteração","CTR-004","COBERTO"
"Contratos","Alteração","CTR-005","COBERTO"
"Contratos","Exclusão","CTR-006","COBERTO"
"Contratos","Cancelamento","CTR-007","COBERTO"
"Contratos","Cancelamento","CTR-008","COBERTO"
"Contratos","Reativação","CTR-009","COBERTO"
"Contratos","Integrações","CTR-INT-001","COBERTO"
"Contratos","Integrações","CTR-INT-002","COBERTO"
"Beneficiários","Inclusão","BEN-001","NÃO COBERTO"
"Beneficiários","Inclusão","BEN-002","COBERTO"
"Beneficiários","Inclusão","BEN-003","NÃO COBERTO"
"Beneficiários","Alteração","BEN-004","COBERTO"
"Beneficiários","Alteração","BEN-005","COBERTO"
"Beneficiários","Exclusão","BEN-006","NÃO COBERTO"
"Beneficiários","Reativação","BEN-007","COBERTO"
"Beneficiários","Dependentes","BEN-DEP-001","NÃO COBERTO"
"Beneficiários","Dependentes","BEN-DEP-002","COBERTO"
"Beneficiários","Integração","BEN-INT-001","COBERTO"
"Movimentações Cadastrais","Todos os fluxos","MOV-001","NÃO COBERTO"
"Movimentações Cadastrais","Todos os fluxos","MOV-002","NÃO COBERTO"
"Movimentações Cadastrais","Todos os fluxos","MOV-003","COBERTO"
"Movimentações Cadastrais","Todos os fluxos","MOV-004","COBERTO"
"Movimentações Cadastrais","Todos os fluxos","MOV-005","COBERTO"
"Movimentações Cadastrais","Fluxos alternativos","MOV-ALT-001","COBERTO"
"Movimentações Cadastrais","Fluxos alternativos","MOV-ALT-002","NÃO COBERTO"
"Movimentações Cadastrais","Fluxos negativos","MOV-NEG-001","COBERTO"
"Movimentações Cadastrais","Fluxos negativos","MOV-NEG-002","COBERTO"
"Movimentações Cadastrais","Fluxos regressivos","MOV-REG-001","COBERTO"
"Movimentações Cadastrais","Fluxos regressivos","MOV-REG-002","COBERTO"
"Portabilidade","Solicitação","POR-001","COBERTO"
"Portabilidade","Solicitação","POR-002","COBERTO"
"Portabilidade","Aprovação","POR-APR-001","COBERTO"
"Portabilidade","Aprovação","POR-APR-002","NÃO COBERTO"
"Portabilidade","Rejeição","POR-REJ-001","COBERTO"
"Portabilidade","Rejeição","POR-REJ-002","COBERTO"
"Portabilidade","Cancelamento","POR-CAN-001","COBERTO"
"Portabilidade","Integrações","POR-INT-001","COBERTO"
"Portabilidade","Integrações","POR-INT-002","COBERTO"
"Emissão de Cartão","Solicitação","CAR-001","COBERTO"
"Emissão de Cartão","Solicitação","CAR-002","COBERTO"
"Emissão de Cartão","Reemissão","CAR-REEM-001","COBERTO"
"Emissão de Cartão","Reemissão","CAR-REEM-002","COBERTO"
"Emissão de Cartão","Cancelamento","CAR-CAN-001","NÃO COBERTO"
"Emissão de Cartão","Integrações","CAR-INT-001","COBERTO"
"Emissão de Cartão","Integrações","CAR-INT-002","COBERTO"
"Retenção Inadimplente","Cenários","RET-INAD-001","NÃO COBERTO"
"Retenção Inadimplente","Cenários","RET-INAD-002","NÃO COBERTO"
"Retenção Inadimplente","Cenários","RET-INAD-003","COBERTO"
"Retenção Inadimplente","Cenários","RET-INAD-004","COBERTO"
"Retenção Adimplente","Cenários","RET-ADM-001","COBERTO"
"Retenção Adimplente","Cenários","RET-ADM-002","COBERTO"
"Retenção Adimplente","Cenários","RET-ADM-003","NÃO COBERTO"
"Comissionamento","Individual","COM-IND-001","COBERTO"
"Comissionamento","Individual","COM-IND-002","NÃO COBERTO"
"Comissionamento","Empresa","COM-EMP-001","COBERTO"
"Comissionamento","Empresa","COM-EMP-002","COBERTO"
"Comissionamento","Corretores","COM-COR-001","COBERTO"
"Comissionamento","Corretores","COM-COR-002","NÃO COBERTO"
"Comissionamento","Supervisão","COM-SUP-001","COBERTO"
"Comissionamento","Supervisão","COM-SUP-002","COBERTO"
"Comissionamento","Auditoria","COM-AUD-001","COBERTO"
"Comissionamento","Auditoria","COM-AUD-002","NÃO COBERTO"
"Comissionamento","Reprocessamento","COM-REP-001","NÃO COBERTO"
"Comissionamento","Reprocessamento","COM-REP-002","COBERTO"
"Comissionamento","Integrações","COM-INT-001","COBERTO"
"Comissionamento","Integrações","COM-INT-002","NÃO COBERTO"
