Teste,Módulo,Regra,Cobertura,Origem,Status
"BUG-134760.spec.js","geral",,A definir,"Playwright","existente"
"BUG-137033.spec.js","geral",,A definir,"Playwright","existente"
"BUG-137729.spec.js","geral",,A definir,"Playwright","existente"
"BUG-137744.spec.js","geral",,A definir,"Playwright","existente"
"fluxo-criacao-contrato.spec.js","geral",,A definir,"Playwright","existente"
"gfi-ativado.spec.js","geral",,A definir,"Playwright","existente"
"gfi-conferencia-integracao.spec.js","geral",,A definir,"Playwright","existente"
"Beneficiarios.spec.js","geral",,A definir,"Playwright","existente"
"cenario6-codegen.spec.js","geral",,A definir,"Playwright","existente"
"cenario6-reutilizacao-produto-combinacao.spec.js","geral",,A definir,"Playwright","existente"
"Contratos.spec.js","geral",,A definir,"Playwright","existente"
"criacao-contrato-completo.spec.js","geral",,A definir,"Playwright","existente"
"CRM-Geral.spec.js","geral",,A definir,"Playwright","existente"
"Integracoes.spec.js","geral",,A definir,"Playwright","existente"
